institution,num_students,international_students_%,year
Harvard University,20152.00,0.25,2011
California Institute of Technology,2243.00,0.27,2011
Massachusetts Institute of Technology,11074.00,0.33,2011
Stanford University,15596.00,0.22,2011
Princeton University,7929.00,0.27,2011
University of Cambridge,18812.00,0.34,2011
University of Oxford,19919.00,0.34,2011
"University of California, Berkeley",36186.00,0.15,2011
Imperial College London,15060.00,0.51,2011
Yale University,11751.00,0.2,2011
"University of California, Los Angeles",38206.00,0.15,2011
University of Chicago,14221.00,0.21,2011
Johns Hopkins University,15128.00,0.23,2011
Cornell University,21424.00,0.19,2011
ETH Zurich – Swiss Federal Institute of Technology Zurich,18178.00,0.37,2011
University of Michigan,41786.00,0.16,2011
University of Toronto,66198.00,0.15,2011
Columbia University,25055.00,0.28,2011
University of Pennsylvania,20376.00,0.2,2011
Carnegie Mellon University,11885.00,0.35,2011
University of Hong Kong,19835.00,0.38,2011
University College London,26607.00,0.46,2011
University of Washington,44020.00,0.13,2011
Duke University,15172.00,0.17,2011
Northwestern University,18334.00,0.15,2011
University of Tokyo,26199.00,0.1,2011
Georgia Institute of Technology,19967.00,0.26,2011
Pohang University of Science and Technology,3055.00,0.04,2011
"University of California, Santa Barbara",22020.00,0.11,2011
University of British Columbia,50152.00,0.25,2011
University of North Carolina at Chapel Hill,26518.00,0.08,2011
"University of California, San Diego",27233.00,0.11,2011
University of Illinois at Urbana-Champaign,42727.00,0.2,2011
National University of Singapore,31592.00,0.34,2011
McGill University,31326.00,0.23,2011
University of Melbourne,40128.00,0.35,2011
Peking University,40148.00,0.14,2011
Washington University in St Louis,12528.00,0.17,2011
École Polytechnique,2429.00,0.3,2011
University of Edinburgh,25774.00,0.36,2011
Hong Kong University of Science and Technology,11385.00,0.36,2011
École Normale Supérieure,2400.00,0.2,2011
Australian National University,14604.00,0.35,2011
Karolinska Institute,7774.00,0.22,2011
University of Göttingen,25581.00,0.12,2011
University of Wisconsin,,,2011
Rice University,6333.00,0.26,2011
École Polytechnique Fédérale de Lausanne,9666.00,0.54,2011
"University of California, Irvine",26614.00,0.16,2011
University of Science and Technology of China,14290.00,0.02,2011
Vanderbilt University,12161.00,0.1,2011
University of Minnesota,46825.00,0.13,2011
Tufts University,10410.00,0.14,2011
"University of California, Davis",35364.00,0.13,2011
Brown University,8653.00,0.19,2011
University of Massachusetts,56959.00,0.11,2011
Kyoto University,22809.00,0.07,2011
Tsinghua University,39763.00,0.1,2011
Boston University,24789.00,0.17,2011
New York University,42056.00,0.19,2011
Emory University,12338.00,0.18,2011
LMU Munich,35691.00,0.13,2011
University of Notre Dame,11829.00,0.1,2011
University of Pittsburgh,26485.00,0.1,2011
Case Western Reserve University,9259.00,0.17,2011
Ohio State University,51462.00,0.12,2011
University of Colorado Boulder,29325.00,0.08,2011
University of Bristol,17906.00,0.25,2011
"University of California, Santa Cruz",17404.00,0.01,2011
Yeshiva University,6753.00,0.07,2011
University of Sydney,41868.00,0.28,2011
University of Virginia,23845.00,0.12,2011
University of Adelaide,20771.00,0.26,2011
University of Southern California,36534.00,0.2,2011
William & Mary,7867.00,0.07,2011
Trinity College Dublin,15521.00,0.25,2011
King’s College London,21394.00,0.37,2011
Stony Brook University,21908.00,0.24,2011
Korea Advanced Institute of Science and Technology (KAIST),9027.00,0.09,2011
University of Sussex,12001.00,0.35,2011
The University of Queensland,34718.00,0.27,2011
University of York,,,2011
Heidelberg University,28881.00,0.17,2011
University of Utah,25674.00,0.09,2011
Durham University,15489.00,0.24,2011
London School of Economics and Political Science,,,2011
University of Manchester,34938.00,0.34,2011
"Royal Holloway, University of London",8747.00,0.37,2011
Lund University,28251.00,0.15,2011
University of Southampton,20925.00,0.29,2011
University of Zurich,26583.00,0.19,2011
Wake Forest University,7326.00,0.05,2011
McMaster University,23823.00,0.15,2011
University College Dublin,22193.00,0.23,2011
George Washington University,20541.00,0.16,2011
University of Arizona,36429.00,0.08,2011
University of Basel,12551.00,0.24,2011
"University of Maryland, College Park",31331.00,0.09,2011
Dartmouth College,6178.00,0.16,2011
École Normale Supérieure de Lyon,2218.00,0.14,2011
Technical University of Munich,35565.00,0.2,2011
University of Helsinki,23505.00,0.06,2011
University of St Andrews,8338.00,0.47,2011
Rensselaer Polytechnic Institute,6671.00,0.16,2011
"Rutgers, the State University of New Jersey",37032.00,0.08,2011
Purdue University,39256.00,0.22,2011
National Tsing Hua University,10221.00,0.05,2011
University of Cape Town,20040.00,0.18,2011
Pennsylvania State University,44501.00,0.12,2011
Seoul National University,26389.00,0.1,2011
Hong Kong Baptist University,10441.00,0.25,2011
Bilkent University,,,2011
Tokyo Institute of Technology,9586.00,0.13,2011
Eindhoven University of Technology,8176.00,0.14,2011
National Taiwan University,31891.00,0.07,2011
University of Hawai’i at Mānoa,,,2011
"University of California, Riverside",20626.00,0.12,2011
University of Geneva,15668.00,0.39,2011
KU Leuven,42503.00,0.18,2011
Nanjing University,29743.00,0.1,2011
Queen Mary University of London,14260.00,0.4,2011
Michigan State University,44750.00,0.15,2011
Technical University of Denmark,9990.00,0.18,2011
Ghent University,32166.00,0.09,2011
Lancaster University,11512.00,0.33,2011
Leiden University,21222.00,0.1,2011
University of Alberta,36299.00,0.23,2011
University of Glasgow,22616.00,0.29,2011
Stockholm University,31715.00,0.08,2011
Osaka University,23144.00,0.09,2011
University of Victoria,17581.00,0.11,2011
Tohoku University,17200.00,0.07,2011
University of Freiburg,26467.00,0.16,2011
University of Iowa,27526.00,0.11,2011
University of Bergen,11623.00,0.12,2011
University of Lausanne,11964.00,0.22,2011
University of Sheffield,23311.00,0.31,2011
University of Montreal,38264.00,0.25,2011
VU University Amsterdam,23280.00,0.06,2011
Pierre and Marie Curie University,27862.00,0.18,2011
University of Dundee,11628.00,0.25,2011
University of Barcelona,47491.00,0.1,2011
Utrecht University,30779.00,0.07,2011
Wageningen University and Research Center,9248.00,0.21,2011
University of Auckland,29787.00,0.28,2011
University of Birmingham,25295.00,0.23,2011
Alexandria University,127431.00,0.01,2011
Uppsala University,25266.00,0.12,2011
Hong Kong Polytechnic University,22064.00,0.26,2011
University of Aberdeen,12938.00,0.33,2011
Delft University of Technology,15920.00,0.25,2011
"Birkbeck, University of London",9454.00,0.38,2011
Newcastle University,20174.00,0.29,2011
University of New South Wales,38309.00,0.33,2011
Pompeu Fabra University,10901.00,0.13,2011
Indiana University,62468.00,0.13,2011
Iowa State University,29991.00,0.11,2011
Georgia Health Sciences University,,,2011
Erasmus University Rotterdam,20580.00,0.18,2011
University of Delaware,19262.00,0.1,2011
Arizona State University,83236.00,0.09,2011
Boston College,13216.00,0.19,2011
National Sun Yat-Sen University,9336.00,0.04,2011
Georgetown University,15408.00,0.14,2011
University of Amsterdam,24570.00,0.11,2011
University of Liverpool,18815.00,0.3,2011
Aarhus University,23895.00,0.14,2011
University of Leeds,27703.00,0.21,2011
University of Würzburg,26576.00,0.08,2011
University of Groningen,24556.00,0.12,2011
Sun Yat-sen University,51351.00,0.08,2011
Goethe University Frankfurt,31861.00,0.15,2011
Bielefeld University,21428.00,0.08,2011
Nanyang Technological University,25028.00,0.33,2011
University of East Anglia,14992.00,0.28,2011
University of Nottingham,30144.00,0.27,2011
University of Copenhagen,27545.00,0.19,2011
Humboldt University of Berlin,29987.00,0.16,2011
Monash University,50882.00,0.36,2011
University of Bonn,32474.00,0.13,2011
National Chiao Tung University,12646.00,0.05,2011
RWTH Aachen University,37917.00,0.16,2011
Middle East Technical University,25779.00,0.07,2011
University of Exeter,17755.00,0.28,2011
University of Twente,6631.00,0.26,2011
University of Konstanz,10930.00,0.12,2011
Karlsruhe Institute of Technology,25294.00,0.16,2011
University of Innsbruck,18209.00,0.39,2011
University of Tübingen,28327.00,0.12,2011
Drexel University,20713.00,0.18,2011
University of Cincinnati,36108.00,0.06,2011
Yonsei University,24774.00,0.14,2011
Dalhousie University,15064.00,0.18,2011
KTH Royal Institute of Technology,12062.00,0.21,2011
University of Vienna,34651.00,0.25,2011
Kent State University,23122.00,0.08,2011
University of Illinois at Chicago,24313.00,0.17,2011
Zhejiang University,47508.00,0.05,2011
Simon Fraser University,26640.00,0.19,2011
Swedish University of Agricultural Sciences,3879.00,,2011
California Institute of Technology,2243.00,0.27,2012
Harvard University,20152.00,0.25,2012
Stanford University,15596.00,0.22,2012
University of Oxford,19919.00,0.34,2012
Princeton University,7929.00,0.27,2012
University of Cambridge,18812.00,0.34,2012
Massachusetts Institute of Technology,11074.00,0.33,2012
Imperial College London,15060.00,0.51,2012
University of Chicago,14221.00,0.21,2012
"University of California, Berkeley",36186.00,0.15,2012
Yale University,11751.00,0.2,2012
Columbia University,25055.00,0.28,2012
"University of California, Los Angeles",38206.00,0.15,2012
Johns Hopkins University,15128.00,0.23,2012
ETH Zurich – Swiss Federal Institute of Technology Zurich,18178.00,0.37,2012
University of Pennsylvania,20376.00,0.2,2012
University College London,26607.00,0.46,2012
University of Michigan,41786.00,0.16,2012
University of Toronto,66198.00,0.15,2012
Cornell University,21424.00,0.19,2012
Carnegie Mellon University,11885.00,0.35,2012
Duke University,15172.00,0.17,2012
University of British Columbia,50152.00,0.25,2012
Georgia Institute of Technology,19967.00,0.26,2012
University of Washington,44020.00,0.13,2012
Northwestern University,18334.00,0.15,2012
University of Wisconsin-Madison,39655.00,0.11,2012
McGill University,31326.00,0.23,2012
University of Texas at Austin,49427.00,0.09,2012
University of Tokyo,26199.00,0.1,2012
University of Illinois at Urbana-Champaign,42727.00,0.2,2012
Karolinska Institute,7774.00,0.22,2012
"University of California, San Diego",27233.00,0.11,2012
University of Hong Kong,19835.00,0.38,2012
"University of California, Santa Barbara",22020.00,0.11,2012
University of Edinburgh,25774.00,0.36,2012
University of Melbourne,40128.00,0.35,2012
Australian National University,14604.00,0.35,2012
"University of California, Davis",35364.00,0.13,2012
National University of Singapore,31592.00,0.34,2012
Washington University in St Louis,12528.00,0.17,2012
University of Minnesota,46825.00,0.13,2012
University of North Carolina at Chapel Hill,26518.00,0.08,2012
New York University,42056.00,0.19,2012
LMU Munich,35691.00,0.13,2012
École Polytechnique Fédérale de Lausanne,9666.00,0.54,2012
London School of Economics and Political Science,,,2012
University of Manchester,34938.00,0.34,2012
Brown University,8653.00,0.19,2012
Peking University,40148.00,0.14,2012
Pennsylvania State University,44501.00,0.12,2012
Kyoto University,22809.00,0.07,2012
Pohang University of Science and Technology,3055.00,0.04,2012
Boston University,24789.00,0.17,2012
University of Southern California,36534.00,0.2,2012
King’s College London,21394.00,0.37,2012
Ohio State University,51462.00,0.12,2012
University of Sydney,41868.00,0.28,2012
University of Pittsburgh,26485.00,0.1,2012
École Normale Supérieure,2400.00,0.2,2012
University of Zurich,26583.00,0.19,2012
Hong Kong University of Science and Technology,11385.00,0.36,2012
École Polytechnique,2429.00,0.3,2012
University of Massachusetts,56959.00,0.11,2012
McMaster University,23823.00,0.15,2012
University of Bristol,17906.00,0.25,2012
KU Leuven,42503.00,0.18,2012
Utrecht University,30779.00,0.07,2012
University of Göttingen,25581.00,0.12,2012
Vanderbilt University,12161.00,0.1,2012
Tsinghua University,39763.00,0.1,2012
Rice University,6333.00,0.26,2012
Heidelberg University,28881.00,0.17,2012
The University of Queensland,34718.00,0.27,2012
Emory University,12338.00,0.18,2012
Wageningen University and Research Center,9248.00,0.21,2012
Tufts University,10410.00,0.14,2012
University of Colorado Boulder,29325.00,0.08,2012
Leiden University,21222.00,0.1,2012
Lund University,28251.00,0.15,2012
"Rutgers, the State University of New Jersey",37032.00,0.08,2012
University of Rochester,9390.00,0.26,2012
Durham University,15489.00,0.24,2012
Pierre and Marie Curie University,27862.00,0.18,2012
University of St Andrews,8338.00,0.47,2012
"University of California, Irvine",26614.00,0.16,2012
Uppsala University,25266.00,0.12,2012
Technical University of Munich,35565.00,0.2,2012
University of Notre Dame,11829.00,0.1,2012
Dartmouth College,6178.00,0.16,2012
University of Helsinki,23505.00,0.06,2012
University of Amsterdam,24570.00,0.11,2012
Case Western Reserve University,9259.00,0.17,2012
Korea Advanced Institute of Science and Technology (KAIST),9027.00,0.09,2012
"University of Maryland, College Park",31331.00,0.09,2012
Michigan State University,44750.00,0.15,2012
University of Arizona,36429.00,0.08,2012
Purdue University,39256.00,0.22,2012
University of Sussex,12001.00,0.35,2012
University of Alberta,36299.00,0.23,2012
University of Sheffield,23311.00,0.31,2012
University of Glasgow,22616.00,0.29,2012
University of Cape Town,20040.00,0.18,2012
Delft University of Technology,15920.00,0.25,2012
University of Montreal,38264.00,0.25,2012
Ghent University,32166.00,0.09,2012
"Royal Holloway, University of London",8747.00,0.37,2012
Tokyo Institute of Technology,9586.00,0.13,2012
Humboldt University of Berlin,29987.00,0.16,2012
"University of California, Santa Cruz",17404.00,0.01,2012
University of Basel,12551.00,0.24,2012
University of Bern,14708.00,0.14,2012
University of Utah,25674.00,0.09,2012
Stony Brook University,21908.00,0.24,2012
Eindhoven University of Technology,8176.00,0.14,2012
University of Lausanne,11964.00,0.22,2012
Monash University,50882.00,0.36,2012
Trinity College Dublin,15521.00,0.25,2012
Osaka University,23144.00,0.09,2012
Tohoku University,17200.00,0.07,2012
Hebrew University of Jerusalem,17612.00,0.05,2012
University of York,,,2012
Indiana University,62468.00,0.13,2012
Seoul National University,26389.00,0.1,2012
Aarhus University,23895.00,0.14,2012
University of Florida,50095.00,0.09,2012
Arizona State University,83236.00,0.09,2012
Queen Mary University of London,14260.00,0.4,2012
University of Southampton,20925.00,0.29,2012
University of Geneva,15668.00,0.39,2012
Lancaster University,11512.00,0.33,2012
Stockholm University,31715.00,0.08,2012
University of Leeds,27703.00,0.21,2012
University of Groningen,24556.00,0.12,2012
George Washington University,20541.00,0.16,2012
University of Copenhagen,27545.00,0.19,2012
University of Virginia,23845.00,0.12,2012
Georgetown University,15408.00,0.14,2012
University of Vienna,34651.00,0.25,2012
University of Nottingham,30144.00,0.27,2012
University of Iowa,27526.00,0.11,2012
École Normale Supérieure de Lyon,2218.00,0.14,2012
"University of California, Riverside",20626.00,0.12,2012
Rensselaer Polytechnic Institute,6671.00,0.16,2012
University of East Anglia,14992.00,0.28,2012
Newcastle University,20174.00,0.29,2012
William & Mary,7867.00,0.07,2012
University of Birmingham,25295.00,0.23,2012
"Birkbeck, University of London",9454.00,0.38,2012
Brandeis University,5495.00,0.22,2012
Chinese University of Hong Kong,17916.00,0.22,2012
Free University of Berlin,33062.00,0.2,2012
University of Aberdeen,12938.00,0.33,2012
National Taiwan University,31891.00,0.07,2012
Yeshiva University,6753.00,0.07,2012
University of Exeter,17755.00,0.28,2012
Erasmus University Rotterdam,20580.00,0.18,2012
University of Warwick,18529.00,0.37,2012
Radboud University Nijmegen,17713.00,0.1,2012
University College Dublin,22193.00,0.23,2012
VU University Amsterdam,23280.00,0.06,2012
Medical University of South Carolina,,,2012
Wake Forest University,7326.00,0.05,2012
Texas A&M University,50657.00,0.09,2012
University of Reading,12050.00,0.28,2012
Tel Aviv University,23977.00,0.04,2012
University of Illinois at Chicago,24313.00,0.17,2012
RWTH Aachen University,37917.00,0.16,2012
Nanyang Technological University,25028.00,0.33,2012
Paris Diderot University – Paris 7,27756.00,0.17,2012
Université Catholique de Louvain,28856.00,0.19,2012
University of Miami,15286.00,0.14,2012
Queen’s University,20488.00,0.1,2012
University of Auckland,29787.00,0.28,2012
University of New South Wales,38309.00,0.33,2012
University of Dundee,11628.00,0.25,2012
University of Victoria,17581.00,0.11,2012
Technical University of Denmark,9990.00,0.18,2012
University of São Paulo,81402.00,0.04,2012
University of Delaware,19262.00,0.1,2012
Goethe University Frankfurt,31861.00,0.15,2012
University of Liverpool,18815.00,0.3,2012
University of Oslo,27139.00,0.18,2012
Iowa State University,29991.00,0.11,2012
University of Ottawa,36733.00,0.15,2012
Pompeu Fabra University,10901.00,0.13,2012
KTH Royal Institute of Technology,12062.00,0.21,2012
University of Tübingen,28327.00,0.12,2012
University of Freiburg,26467.00,0.16,2012
University of Western Australia,20851.00,0.27,2012
University of Bergen,11623.00,0.12,2012
University of Science and Technology of China,14290.00,0.02,2012
City University of Hong Kong,10015.00,0.28,2012
University of Konstanz,10930.00,0.12,2012
Boston College,13216.00,0.19,2012
Karlsruhe Institute of Technology,25294.00,0.16,2012
Georgia Health Sciences University,,,2012
Maastricht University,15626.00,0.48,2012
University of Leicester,14541.00,0.35,2012
University of Twente,6631.00,0.26,2012
Autonomous University of Barcelona,30538.00,0.1,2012
Bilkent University,,,2012
Cardiff University,23347.00,0.23,2012
Colorado School of Mines,5287.00,0.12,2012
Nagoya University,15529.00,0.1,2012
National Tsing Hua University,10221.00,0.05,2012
Northeastern University,18539.00,0.26,2012
Technion Israel Institute of Technology,13855.00,0.04,2012
Tulane University,11381.00,0.08,2012
Ulm University,9187.00,0.1,2012
Umeå University,16667.00,0.07,2012
University at Buffalo,25668.00,0.19,2012
University of Adelaide,20771.00,0.26,2012
University of Barcelona,47491.00,0.1,2012
University of Cincinnati,36108.00,0.06,2012
University of Essex,12695.00,0.39,2012
University of Georgia,33119.00,0.07,2012
University of Gothenburg,26420.00,0.12,2012
University of Innsbruck,18209.00,0.39,2012
University of Medicine and Dentistry of New Jersey,,,2012
University of Otago,18600.00,0.21,2012
University of South Carolina,29336.00,0.01,2012
University of Strasbourg,46208.00,0.21,2012
University of Waterloo,30726.00,0.14,2012
University of Western Ontario,27387.00,0.16,2012
University of Würzburg,26576.00,0.08,2012
Université Libre de Bruxelles,23819.00,0.32,2012
Carleton University,25036.00,0.18,2012
Chalmers University of Technology,8605.00,0.15,2012
Colorado State University,26769.00,0.05,2012
Creighton University,7086.00,0.02,2012
Dalhousie University,15064.00,0.18,2012
Drexel University,20713.00,0.18,2012
Fudan University,32175.00,0.11,2012
Korea University,24043.00,0.14,2012
Macquarie University,27930.00,0.44,2012
National Chiao Tung University,12646.00,0.05,2012
Simon Fraser University,26640.00,0.19,2012
State University of New York Albany,15387.00,0.08,2012
Swedish University of Agricultural Sciences,3879.00,,2012
Tokyo Metropolitan University,9303.00,0.04,2012
University of Bologna,85532.00,0.07,2012
University of Calgary,28341.00,0.17,2012
University of Hamburg,,,2012
University of Milan,58618.00,0.05,2012
University of Milan-Bicocca,33370.00,0.05,2012
University of Missouri,29885.00,0.05,2012
University of Padua,62577.00,0.04,2012
University of Trieste,18135.00,0.09,2012
Yonsei University,24774.00,0.14,2012
Bangor University,9567.00,0.22,2012
Bielefeld University,21428.00,0.08,2012
Brunel University London,12613.00,0.38,2012
Hong Kong Polytechnic University,22064.00,0.26,2012
Johannes Kepler University of Linz,19646.00,0.1,2012
Kyushu University,18925.00,0.08,2012
Nanjing University,29743.00,0.1,2012
National Sun Yat-Sen University,9336.00,0.04,2012
Norwegian University of Science and Technology,17381.00,0.09,2012
Queen’s University Belfast,17940.00,0.3,2012
Ruhr University Bochum,38675.00,0.13,2012
Stellenbosch University,21849.00,0.08,2012
Tilburg University,7576.00,0.1,2012
TU Dresden,35487.00,0.12,2012
University of Bath,12830.00,0.3,2012
University of Graz,20584.00,0.12,2012
University of Hawai’i at Mānoa,,,2012
University of Kiel,24444.00,0.08,2012
University of Southern Denmark,22210.00,0.16,2012
University of Texas at Dallas,16306.00,0.23,2012
University of the Witwatersrand,23321.00,0.09,2012
University of Tsukuba,15930.00,0.16,2012
University of Wollongong,16489.00,0.24,2012
Victoria University of Wellington,17142.00,0.21,2012
Virginia Polytechnic Institute and State University,30850.00,0.1,2012
Wayne State University,23065.00,0.07,2012
Aberystwyth University,9252.00,0.18,2012
Autonomous University of Madrid,28296.00,0.15,2012
Hokkaido University,18162.00,0.09,2012
Hong Kong Baptist University,10441.00,0.25,2012
Istanbul Technical University,34550.00,0.05,2012
Lomonosov Moscow State University,30822.00,0.2,2012
Middle East Technical University,25779.00,0.07,2012
Montpellier University,36731.00,0.14,2012
Queensland University of Technology,33391.00,0.17,2012
State University of Campinas,27095.00,0.03,2012
Sun Yat-sen University,51351.00,0.08,2012
Technical University of Darmstadt,20300.00,0.18,2012
Tokyo Medical and Dental University (TMDU),2872.00,0.07,2012
UiT The Arctic University of Norway,10398.00,0.1,2012
University of Antwerp,12346.00,0.16,2012
University of Crete,14650.00,0.05,2012
University of Guelph,21643.00,0.04,2012
University of Iceland,13960.00,0.08,2012
University of Kansas,,,2012
University of Kentucky,,,2012
University of Münster,39838.00,0.08,2012
University of Newcastle,23508.00,0.18,2012
University of Texas at San Antonio,27520.00,0.06,2012
University of Trento,16841.00,0.08,2012
York University,48007.00,0.09,2012
Aalborg University,17422.00,0.15,2012
Aalto University,16099.00,0.17,2012
Alexandria University,127431.00,0.01,2012
Bar-Ilan University,17503.00,0.05,2012
"Binghamton University, State University of New York",15799.00,0.14,2012
Boğaziçi University,11506.00,0.07,2012
Charles Darwin University,5570.00,0.15,2012
Charles University in Prague,51438.00,0.15,2012
George Mason University,26622.00,0.07,2012
Indian Institute of Technology Bombay,8327.00,0.01,2012
Jagiellonian University,42835.00,0.05,2012
Keele University,8397.00,0.2,2012
Keio University,33751.00,0.05,2012
Kent State University,23122.00,0.08,2012
Lehigh University,6300.00,0.15,2012
Linköping University,17866.00,0.1,2012
National Taiwan University of Science and Technology (Taiwan Tech),7446.00,0.11,2012
Plymouth University,24121.00,0.13,2012
Polytechnic University of Milan,30025.00,0.12,2012
Sapienza University of Rome,120986.00,0.07,2012
Shanghai Jiao Tong University,38191.00,0.06,2012
Sharif University of Technology,10977.00,0,2012
Sungkyunkwan University (SKKU),24365.00,0.09,2012
University College Cork,15805.00,0.15,2012
University of Aveiro,10791.00,0.1,2012
University of Canterbury,12187.00,0.2,2012
University of Eastern Finland,10798.00,0.06,2012
University of Ferrara,18882.00,0.07,2012
University of Hertfordshire,19665.00,0.27,2012
University of Houston,40325.00,0.09,2012
University of Hull,15141.00,0.2,2012
University of Liège,20951.00,0.23,2012
University of Manitoba,28576.00,0.11,2012
"University of Maryland, Baltimore County",13908.00,0.07,2012
University of Modena and Reggio Emilia,19693.00,0.06,2012
University of Oklahoma,,,2012
University of Pisa,47247.00,0.04,2012
University of Porto,32720.00,0.09,2012
University of South Florida,31424.00,0.1,2012
University of Stirling,7828.00,0.22,2012
University of Surrey,12063.00,0.38,2012
University of Tampere,10045.00,0.04,2012
University of Tasmania,18340.00,0.21,2012
University of Valencia,58413.00,0.09,2012
University of Waikato,10159.00,0.25,2012
University of Warsaw,49292.00,0.07,2012
Vienna University of Technology,26419.00,0.27,2012
Vrije Universiteit Brussel,9020.00,0.16,2012
Washington State University,24550.00,0.07,2012
Zhejiang University,47508.00,0.05,2012
Aston University,,,2012
Auburn University,22386.00,0.04,2012
Clemson University,19198.00,0.08,2012
Curtin University,30333.00,0.38,2012
Deakin University,32713.00,0.17,2012
Flinders University,15655.00,0.15,2012
Georgia State University,28534.00,0.05,2012
Griffith University,30251.00,0.21,2012
Harbin Institute of Technology,31658.00,0.07,2012
Heriot-Watt University,8773.00,0.43,2012
Hiroshima University,14686.00,0.05,2012
Kansas State University,21379.00,0.1,2012
Kobe University,15885.00,0.06,2012
Kyung Hee University,24356.00,0.14,2012
La Trobe University,22037.00,0.27,2012
Leibniz University of Hanover,22401.00,0.12,2012
Liverpool John Moores University,18513.00,0.13,2012
Loughborough University,13951.00,0.22,2012
Mahidol University,27402.00,0.03,2012
Massey University,19101.00,0.15,2012
Michigan Technological University,,,2012
National Central University,10915.00,0.06,2012
National Taiwan Ocean University,8240.00,0.05,2012
"National University of Ireland, Galway",14067.00,0.14,2012
"National University of Ireland, Maynooth",7653.00,0.11,2012
New Jersey Institute of Technology,10646.00,0.17,2012
New University of Lisbon,18867.00,0.07,2012
Old Dominion University,,,2012
Polytechnic University of Catalonia,22893.00,0.28,2012
Polytechnic University of Turin,27709.00,0.16,2012
Polytechnic University of Valencia,33172.00,0.07,2012
Pontifical Catholic University of Chile,25075.00,0.07,2012
Saint Petersburg State University,20836.00,0.07,2012
Swansea University,12801.00,0.2,2012
Swinburne University of Technology,20314.00,0.33,2012
Tokyo University of Agriculture and Technology,5865.00,0.05,2012
University of Bari Aldo Moro,51560.00,0.02,2012
University of Coimbra,22795.00,0.11,2012
University of Idaho,11641.00,0.06,2012
University of Kent,17638.00,0.27,2012
University of Paris North – Paris 13,23026.00,0.22,2012
University of Salento,19959.00,0.01,2012
University of South Australia,18971.00,0.32,2012
University of Strathclyde,15705.00,0.2,2012
University of Tartu,10269.00,0.03,2012
University of Turku,12326.00,0.05,2012
University of Wyoming,,,2012
University of Zaragoza,31046.00,0.05,2012
Waseda University,52316.00,0.08,2012
Wuhan University,46227.00,0.07,2012
Yuan Ze University,8663.00,0.04,2012
California Institute of Technology,2243.00,0.27,2013
Stanford University,15596.00,0.22,2013
University of Oxford,19919.00,0.34,2013
Harvard University,20152.00,0.25,2013
Massachusetts Institute of Technology,11074.00,0.33,2013
Princeton University,7929.00,0.27,2013
University of Cambridge,18812.00,0.34,2013
Imperial College London,15060.00,0.51,2013
"University of California, Berkeley",36186.00,0.15,2013
University of Chicago,14221.00,0.21,2013
Yale University,11751.00,0.2,2013
ETH Zurich – Swiss Federal Institute of Technology Zurich,18178.00,0.37,2013
"University of California, Los Angeles",38206.00,0.15,2013
Columbia University,25055.00,0.28,2013
University of Pennsylvania,20376.00,0.2,2013
Johns Hopkins University,15128.00,0.23,2013
University College London,26607.00,0.46,2013
Cornell University,21424.00,0.19,2013
Northwestern University,18334.00,0.15,2013
University of Michigan,41786.00,0.16,2013
University of Toronto,66198.00,0.15,2013
Carnegie Mellon University,11885.00,0.35,2013
Duke University,15172.00,0.17,2013
University of Washington,44020.00,0.13,2013
Georgia Institute of Technology,19967.00,0.26,2013
University of Texas at Austin,49427.00,0.09,2013
University of Tokyo,26199.00,0.1,2013
University of Melbourne,40128.00,0.35,2013
National University of Singapore,31592.00,0.34,2013
University of British Columbia,50152.00,0.25,2013
University of Wisconsin-Madison,39655.00,0.11,2013
University of Edinburgh,25774.00,0.36,2013
University of Illinois at Urbana-Champaign,42727.00,0.2,2013
McGill University,31326.00,0.23,2013
"University of California, Santa Barbara",22020.00,0.11,2013
University of Hong Kong,19835.00,0.38,2013
Australian National University,14604.00,0.35,2013
"University of California, San Diego",27233.00,0.11,2013
London School of Economics and Political Science,,,2013
École Polytechnique Fédérale de Lausanne,9666.00,0.54,2013
New York University,42056.00,0.19,2013
Karolinska Institute,7774.00,0.22,2013
University of North Carolina at Chapel Hill,26518.00,0.08,2013
"University of California, Davis",35364.00,0.13,2013
Washington University in St Louis,12528.00,0.17,2013
Peking University,40148.00,0.14,2013
University of Minnesota,46825.00,0.13,2013
LMU Munich,35691.00,0.13,2013
University of Manchester,34938.00,0.34,2013
Pohang University of Science and Technology,3055.00,0.04,2013
Brown University,8653.00,0.19,2013
Tsinghua University,39763.00,0.1,2013
Ohio State University,51462.00,0.12,2013
Boston University,24789.00,0.17,2013
Kyoto University,22809.00,0.07,2013
University of Southern California,36534.00,0.2,2013
King’s College London,21394.00,0.37,2013
KU Leuven,42503.00,0.18,2013
Seoul National University,26389.00,0.1,2013
École Normale Supérieure,2400.00,0.2,2013
Pennsylvania State University,44501.00,0.12,2013
University of Sydney,41868.00,0.28,2013
École Polytechnique,2429.00,0.3,2013
Leiden University,21222.00,0.1,2013
Hong Kong University of Science and Technology,11385.00,0.36,2013
The University of Queensland,34718.00,0.27,2013
Utrecht University,30779.00,0.07,2013
Korea Advanced Institute of Science and Technology (KAIST),9027.00,0.09,2013
Purdue University,39256.00,0.22,2013
University of Göttingen,25581.00,0.12,2013
Wageningen University and Research Center,9248.00,0.21,2013
Erasmus University Rotterdam,20580.00,0.18,2013
University of Massachusetts,56959.00,0.11,2013
University of Bristol,17906.00,0.25,2013
Rice University,6333.00,0.26,2013
University of Pittsburgh,26485.00,0.1,2013
Delft University of Technology,15920.00,0.25,2013
